ds,Valor Real,Valor Previsto,Error
2021-01-04 09:00:00,121585.0,119300.0,2285.0
2021-01-04 10:00:00,120895.0,119470.0,1425.0
2021-01-04 11:00:00,121015.0,119455.0,1560.0
2021-01-04 12:00:00,120260.0,119505.0,755.0
2021-01-04 13:00:00,119740.0,119595.0,145.0
2021-01-04 14:00:00,119955.0,119640.0,315.0
2021-01-04 15:00:00,120480.0,119675.0,805.0
2021-01-04 16:00:00,120175.0,119750.0,425.0
2021-01-04 17:00:00,120035.0,119700.0,335.0
2021-01-05 09:00:00,119675.0,120370.0,695.0
2021-01-05 10:00:00,118000.0,120535.0,2535.0
2021-01-05 11:00:00,118720.0,120520.0,1800.0
2021-01-05 12:00:00,118755.0,120560.0,1805.0
2021-01-05 13:00:00,119610.0,120645.0,1035.0
2021-01-05 14:00:00,120095.0,120685.0,590.0
2021-01-05 15:00:00,120735.0,120710.0,25.0
2021-01-05 16:00:00,120595.0,120780.0,185.0
2021-01-05 17:00:00,120545.0,120725.0,180.0
2021-01-06 09:00:00,120525.0,121470.0,945.0
2021-01-06 10:00:00,120845.0,121655.0,810.0
2021-01-06 11:00:00,121300.0,121655.0,355.0
2021-01-06 12:00:00,121285.0,121715.0,430.0
2021-01-06 13:00:00,121305.0,121820.0,515.0
2021-01-06 14:00:00,121575.0,121880.0,305.0
2021-01-06 15:00:00,122160.0,121930.0,230.0
2021-01-06 16:00:00,121490.0,122020.0,530.0
2021-01-06 17:00:00,120365.0,121980.0,1615.0
2021-01-07 09:00:00,120870.0,122760.0,1890.0
2021-01-07 10:00:00,121250.0,122920.0,1670.0
2021-01-07 11:00:00,122330.0,122900.0,570.0
2021-01-07 12:00:00,122735.0,122935.0,200.0
2021-01-07 13:00:00,122560.0,123015.0,455.0
2021-01-07 14:00:00,122720.0,123045.0,325.0
2021-01-07 15:00:00,122830.0,123065.0,235.0
2021-01-07 16:00:00,123015.0,123120.0,105.0
2021-01-07 17:00:00,123900.0,123055.0,845.0
2021-01-08 09:00:00,124265.0,123520.0,745.0
2021-01-08 10:00:00,124095.0,123690.0,405.0
2021-01-08 11:00:00,123765.0,123680.0,85.0
2021-01-08 12:00:00,124775.0,123730.0,1045.0
2021-01-08 13:00:00,125225.0,123820.0,1405.0
2021-01-08 14:00:00,126140.0,123875.0,2265.0
2021-01-08 15:00:00,125735.0,123915.0,1820.0
2021-01-08 16:00:00,126415.0,124000.0,2415.0
2021-01-08 17:00:00,126505.0,123960.0,2545.0
2021-01-11 09:00:00,125230.0,124820.0,410.0
2021-01-11 10:00:00,124930.0,124940.0,10.0
2021-01-11 11:00:00,126020.0,124885.0,1135.0
2021-01-11 12:00:00,125085.0,124885.0,200.0
2021-01-11 13:00:00,125220.0,124925.0,295.0
2021-01-11 14:00:00,125180.0,124925.0,255.0
